852 2797
726 192 923
352 702 642
72 827 751
468 132 675
301 715 736
770 104 452
380 537 332
181 574 727
491 137 48
545 444 45
691 20 358
514 281 191
482 653 258
216 57 431
700 593 320
799 672 180
257 173 110
801 8 40
93 701 777
472 221 617
258 188 754
457 221 87
620 814 423
24 681 965
107 763 346
817 593 969
48 821 738
637 708 847
393 803 435
119 49 690
242 677 536
572 683 124
23 813 896
452 587 44
130 749 608
661 467 864
684 297 364
258 488 824
69 456 309
591 472 830
294 375 405
44 312 595
175 314 352
841 699 964
729 391 377
558 633 769
408 602 427
543 10 880
559 312 121
555 772 371
223 795 843
31 655 356
29 594 549
246 499 358
215 446 903
546 57 310
466 419 57
645 559 343
1 649 619
502 277 14
240 771 317
164 213 225
848 809 938
200 803 899
245 694 568
469 253 655
570 678 525
614 613 215
576 504 709
47 298 744
438 314 311
431 249 495
588 508 422
315 37 188
216 574 771
736 678 599
691 105 502
134 408 556
457 748 638
1 19 968
322 123 647
106 422 869
245 551 359
119 391 468
115 267 706
229 772 747
715 690 691
565 325 589
530 13 563
584 728 71
699 742 224
576 189 446
71 85 691
418 630 461
763 754 946
837 75 575
474 379 398
635 720 849
795 514 836
22 508 880
366 298 91
792 279 846
841 90 707
112 519 697
805 39 977
511 396 333
54 147 372
297 645 534
190 508 722
745 127 144
246 759 750
553 496 917
120 439 376
181 24 962
84 75 943
789 755 110
28 794 439
729 799 907
498 38 208
206 308 640
649 519 524
718 105 558
260 390 912
706 347 425
178 13 198
91 362 343
206 497 926
782 841 258
369 678 903
543 496 758
662 760 70
820 84 663
92 842 650
303 413 663
41 338 523
301 88 417
56 511 640
515 499 148
241 535 698
227 16 584
376 481 56
737 204 738
782 122 62
608 235 766
319 756 308
593 697 419
159 112 765
189 383 26
343 11 627
490 69 905
706 307 395
401 380 172
706 660 159
39 817 630
654 395 559
266 759 707
88 53 482
494 159 725
35 744 790
394 300 394
733 543 921
70 567 938
88 460 214
525 11 632
425 103 451
850 218 22
217 736 568
826 776 197
718 107 414
664 267 466
35 397 256
126 271 203
260 769 881
660 253 523
841 556 415
51 167 511
642 803 273
597 818 982
600 554 581
615 525 268
695 706 511
614 518 371
70 385 76
572 851 982
348 315 735
119 526 738
831 167 959
721 39 414
33 395 166
717 396 984
231 362 526
694 665 404
121 275 357
524 459 75
134 720 755
609 465 584
250 709 404
279 688 206
270 841 35
663 358 350
410 32 60
199 459 235
237 833 753
112 640 70
581 447 216
136 203 567
347 381 826
558 311 564
437 650 201
509 118 953
286 688 152
420 704 685
56 95 267
344 151 378
741 198 659
216 696 353
163 368 109
152 794 546
547 220 876
831 61 656
238 521 463
363 175 969
456 56 968
806 96 882
431 437 726
395 788 715
775 760 873
728 88 307
156 649 246
264 44 667
806 592 158
652 693 756
704 83 304
540 840 763
420 831 62
568 679 982
456 806 242
35 276 81
317 311 264
193 223 971
422 762 368
116 730 600
224 436 881
166 812 909
427 33 522
583 304 305
247 301 893
314 211 452
687 321 669
660 450 656
610 566 635
105 806 631
258 89 999
237 747 140
131 439 200
21 735 531
448 327 331
797 364 259
671 188 367
159 703 119
685 497 481
281 362 75
64 777 218
108 767 252
96 75 989
672 425 566
339 66 48
523 468 539
697 247 925
123 552 869
695 739 852
370 493 997
622 256 970
494 364 248
480 3 848
645 382 574
140 728 241
610 21 26
665 436 97
32 77 362
338 329 234
205 635 570
772 186 38
495 846 800
767 850 246
707 759 369
425 592 737
51 383 391
770 721 908
55 818 254
690 149 240
410 208 870
131 756 604
450 186 112
739 56 405
525 743 437
185 537 455
120 158 748
149 546 975
345 707 521
245 64 130
427 813 982
753 66 600
566 139 389
782 497 400
298 41 916
838 571 287
616 153 172
22 366 931
654 666 975
648 716 536
844 215 823
523 752 113
11 502 41
192 194 298
222 445 967
189 315 851
122 830 651
29 472 252
293 304 426
48 795 385
373 204 539
646 205 734
846 217 549
73 313 95
149 827 735
178 431 613
219 643 608
756 357 142
117 536 615
272 773 380
730 546 22
156 511 282
213 223 223
339 731 162
701 672 124
844 256 626
807 157 744
257 505 493
766 756 150
6 713 138
833 615 900
465 60 274
706 773 488
282 660 950
486 774 37
160 348 194
669 751 512
519 324 181
575 406 6
633 279 134
835 187 960
522 608 297
568 808 173
425 636 367
225 496 964
654 132 361
588 670 123
428 679 722
416 394 908
244 723 575
700 824 787
838 504 573
575 840 755
475 487 907
754 612 489
662 759 599
482 624 45
156 291 656
236 722 641
481 625 817
20 409 401
484 707 82
232 488 151
496 778 383
205 132 86
22 355 514
437 304 281
18 196 991
140 637 157
741 823 75
49 209 596
448 559 568
499 597 703
714 293 273
616 810 143
366 661 541
341 435 227
276 305 42
613 307 719
668 632 240
6 110 258
767 39 873
109 720 234
56 548 575
246 363 179
616 726 751
541 291 755
141 756 343
308 666 845
701 498 565
777 475 25
664 605 607
67 200 304
524 130 409
167 647 874
253 775 109
648 264 438
536 580 222
651 552 187
650 397 624
194 557 810
484 367 751
284 77 73
771 100 963
117 104 203
646 664 370
210 192 773
381 598 357
635 572 557
183 406 106
107 716 627
515 233 603
515 474 699
820 515 238
793 51 706
487 206 822
145 108 971
252 489 240
369 721 546
71 578 846
141 408 577
